condition,SPECIALTY
Viral sinusitis (disorder),Otolaryngologist
Viral sinusitis (disorder),Otolaryngologist
Chronic sinusitis (disorder),Otolaryngologist
Acute bronchitis (disorder),Pulmonologist
Acute bronchitis (disorder),Pulmonologist
Laceration of foot,General Surgeon
Viral sinusitis (disorder),Otolaryngologist
Acute bronchitis (disorder),Pulmonologist
Streptococcal sore throat (disorder),Otolaryngologist
Acute viral pharyngitis (disorder),Otolaryngologist
Viral sinusitis (disorder),Otolaryngologist
Acute viral pharyngitis (disorder),Otolaryngologist
Acute bronchitis (disorder),Pulmonologist
Viral sinusitis (disorder),Otolaryngologist
Acute viral pharyngitis (disorder),Otolaryngologist
Acute viral pharyngitis (disorder),Otolaryngologist
Otitis media,Otolaryngologist
Otitis media,Otolaryngologist
Sprain of wrist,Orthopedic Specialist
Acute bronchitis (disorder),Pulmonologist
Acute bronchitis (disorder),Pulmonologist
Chronic sinusitis (disorder),Otolaryngologist
Acute bacterial sinusitis (disorder),Otolaryngologist
,
Normal pregnancy,Obstetrician
Impacted molars,Dentist
Fracture of forearm,Orthopedic Specialist
Cystitis,Urologist
Body mass index 30+ - obesity (finding),Endocrinologist
Otitis media,Otolaryngologist
Acute viral pharyngitis (disorder),Otolaryngologist
Viral sinusitis (disorder),Otolaryngologist
Acute bronchitis (disorder),Pulmonologist
Prediabetes,Endocrinologist
Fetus with unknown complication,Obstetrician
Miscarriage in first trimester,Obstetrician
Normal pregnancy,Obstetrician
Viral sinusitis (disorder),Otolaryngologist
Normal pregnancy,Obstetrician
Anemia (disorder),Hematologist
Normal pregnancy,Obstetrician
Streptococcal sore throat (disorder),Otolaryngologist
Normal pregnancy,Obstetrician
Chronic sinusitis (disorder),Otolaryngologist
Normal pregnancy,Obstetrician
Sinusitis (disorder),Otolaryngologist
Normal pregnancy,Obstetrician
Normal pregnancy,Obstetrician
Normal pregnancy,Obstetrician
Fetus with unknown complication,Obstetrician
Miscarriage in first trimester,Obstetrician
Normal pregnancy,Obstetrician
Hypertension,Cardiologist
Viral sinusitis (disorder),Otolaryngologist
Body mass index 30+ - obesity (finding),Endocrinologist
Acute bronchitis (disorder),Pulmonologist
Whiplash injury to neck,Orthopedic Specialist
Acute viral pharyngitis (disorder),Otolaryngologist
Viral sinusitis (disorder),Otolaryngologist
Viral sinusitis (disorder),Otolaryngologist
Normal pregnancy,Obstetrician
Escherichia coli urinary tract infection,Urologist
Normal pregnancy,Obstetrician
Otitis media,Otolaryngologist
Normal pregnancy,Obstetrician
Acute viral pharyngitis (disorder),Otolaryngologist
Viral sinusitis (disorder),Otolaryngologist
Viral sinusitis (disorder),Otolaryngologist
Streptococcal sore throat (disorder),Otolaryngologist
Fracture of forearm,Orthopedic Specialist
Viral sinusitis (disorder),Otolaryngologist
Anemia (disorder),Hematologist
Prediabetes,Endocrinologist
Hypertension,Cardiologist
Acute viral pharyngitis (disorder),Otolaryngologist
Acute viral pharyngitis (disorder),Otolaryngologist
Laceration of forearm,General Surgeon
Acute viral pharyngitis (disorder),Otolaryngologist
Whiplash injury to neck,Orthopedic Specialist
Sinusitis (disorder),Otolaryngologist
Sprain of ankle,Orthopedic Specialist
Atrial Fibrillation,Cardiologist
Anemia (disorder),Hematologist
Prediabetes,Endocrinologist
Miscarriage in first trimester,Obstetrician
Body mass index 30+ - obesity (finding),Endocrinologist
Hypertension,Cardiologist
Chronic sinusitis (disorder),Otolaryngologist
Acute bronchitis (disorder),Pulmonologist
Viral sinusitis (disorder),Otolaryngologist
Viral sinusitis (disorder),Otolaryngologist
Laceration of thigh,General Surgeon
Malignant neoplasm of breast (disorder),Oncologist
Body mass index 30+ - obesity (finding),Endocrinologist
Miscarriage in first trimester,Obstetrician
Hypertension,Cardiologist
Viral sinusitis (disorder),Otolaryngologist
Viral sinusitis (disorder),Otolaryngologist
Osteoarthritis of knee,Orthopedic Specialist
Body mass index 30+ - obesity (finding),Endocrinologist
Chronic sinusitis (disorder),Otolaryngologist
Malignant neoplasm of breast (disorder),Oncologist
Miscarriage in first trimester,Obstetrician
Hypertension,Cardiologist
Anemia (disorder),Hematologist
Normal pregnancy,Obstetrician
Acute viral pharyngitis (disorder),Otolaryngologist
Preeclampsia,Obstetrician
Normal pregnancy,Obstetrician
Sprain of ankle,Orthopedic Specialist
Acute bronchitis (disorder),Pulmonologist
Normal pregnancy,Obstetrician
Hypertension,Cardiologist
Viral sinusitis (disorder),Otolaryngologist
Malignant neoplasm of breast (disorder),Oncologist
Facial laceration,Plastic Surgeon
Acute viral pharyngitis (disorder),Otolaryngologist
Otitis media,Otolaryngologist
Otitis media,Otolaryngologist
Childhood asthma,Pulmonologist
Viral sinusitis (disorder),Otolaryngologist
Fracture of clavicle,Orthopedic Specialist
Otitis media,Otolaryngologist
Streptococcal sore throat (disorder),Otolaryngologist
Perennial allergic rhinitis with seasonal variation,Allergist
Viral sinusitis (disorder),Otolaryngologist
Viral sinusitis (disorder),Otolaryngologist
Acute viral pharyngitis (disorder),Otolaryngologist
Acute bronchitis (disorder),Pulmonologist
Viral sinusitis (disorder),Otolaryngologist
Viral sinusitis (disorder),Otolaryngologist
Childhood asthma,Pulmonologist
Perennial allergic rhinitis with seasonal variation,Allergist
Otitis media,Otolaryngologist
Viral sinusitis (disorder),Otolaryngologist
Acute bronchitis (disorder),Pulmonologist
Viral sinusitis (disorder),Otolaryngologist
Miscarriage in first trimester,Obstetrician
Prediabetes,Endocrinologist
Hypertension,Cardiologist
Body mass index 30+ - obesity (finding),Endocrinologist
Viral sinusitis (disorder),Otolaryngologist
Normal pregnancy,Obstetrician
Normal pregnancy,Obstetrician
Acute bronchitis (disorder),Pulmonologist
Normal pregnancy,Obstetrician
Normal pregnancy,Obstetrician
Body mass index 30+ - obesity (finding),Endocrinologist
Normal pregnancy,Obstetrician
Hypertension,Cardiologist
Normal pregnancy,Obstetrician
Viral sinusitis (disorder),Otolaryngologist
Viral sinusitis (disorder),Otolaryngologist
Anemia (disorder),Hematologist
Prediabetes,Endocrinologist
Acute bronchitis (disorder),Pulmonologist
Normal pregnancy,Obstetrician
Viral sinusitis (disorder),Otolaryngologist
Chronic sinusitis (disorder),Otolaryngologist
Acute bacterial sinusitis (disorder),Otolaryngologist
Sprain of ankle,Orthopedic Specialist
Concussion with no loss of consciousness,Neurologist
Acute viral pharyngitis (disorder),Otolaryngologist
Acute allergic reaction,Allergist
Viral sinusitis (disorder),Otolaryngologist
Acute bronchitis (disorder),Pulmonologist
Perennial allergic rhinitis with seasonal variation,Allergist
Fetus with unknown complication,Obstetrician
Normal pregnancy,Obstetrician
Viral sinusitis (disorder),Otolaryngologist
Viral sinusitis (disorder),Otolaryngologist
Viral sinusitis (disorder),Otolaryngologist
Acute viral pharyngitis (disorder),Otolaryngologist
Anemia (disorder),Hematologist
Hyperlipidemia,Cardiologist
Miscarriage in first trimester,Obstetrician
Recurrent urinary tract infection,Urologist
Prediabetes,Endocrinologist
Viral sinusitis (disorder),Otolaryngologist
Viral sinusitis (disorder),Otolaryngologist
Body mass index 30+ - obesity (finding),Endocrinologist
Hypertension,Cardiologist
Streptococcal sore throat (disorder),Otolaryngologist
Polyp of colon,Gastroenterologist
Viral sinusitis (disorder),Otolaryngologist
Acute bronchitis (disorder),Pulmonologist
Streptococcal sore throat (disorder),Otolaryngologist
Acute bronchitis (disorder),Pulmonologist
Coronary Heart Disease,Cardiologist
Miscarriage in first trimester,Obstetrician
Osteoarthritis of hip,Orthopedic Specialist
Recurrent urinary tract infection,Urologist
Body mass index 30+ - obesity (finding),Endocrinologist
Viral sinusitis (disorder),Otolaryngologist
